well_id,date,well_age_months,pressure,oil_production_bbl
W01,2019-01-01,1,2972.202997048827,4884.956234716127
W01,2019-02-01,1,2995.6344749525506,4975.457603592145
W01,2019-03-01,4,3035.480320387685,5234.51895349535
W01,2019-04-01,5,2979.478046649412,5141.52839349486
W01,2019-05-01,6,3028.5594530086505,5194.850364157476
W01,2019-06-01,7,2946.877054187174,4808.1508382280645
W01,2019-07-01,6,2974.7045647445443,4570.565812357576
W01,2019-08-01,8,2968.4164049573146,4139.914494384172
W01,2019-09-01,8,2987.5616150596666,4104.205261041476
W01,2019-10-01,7,2985.055479130567,3966.648976986921
W01,2019-11-01,12,2972.6650213410335,4024.1519700999934
W01,2019-12-01,9,2962.98403275203,4120.927837623748
W01,2020-01-01,13,2995.479815862875,4229.039872051627
W01,2020-02-01,14,2960.658779903938,4484.371918452099
W01,2020-03-01,12,2992.5636228025796,4496.488742458035
W01,2020-04-01,14,2935.551517404438,4574.999813711829
W01,2020-05-01,17,2973.4659579013464,4574.529910394225
W01,2020-06-01,18,2963.108792940294,4287.244555857436
W01,2020-07-01,20,2983.3425104208422,4025.9125320494854
W01,2020-08-01,18,2964.4104119757567,3863.7500274690588
W01,2020-09-01,22,2968.10209923487,3618.1230914336584
W01,2020-10-01,19,2956.9115799381625,3538.8381013702606
W01,2020-11-01,20,2970.553069867826,3648.9203686806945
W01,2020-12-01,23,2965.901064685674,3786.6841501808035
W01,2021-01-01,23,2931.019561919434,3809.6971342897477
W01,2021-02-01,23,2912.296167761313,4071.373628097893
W01,2021-03-01,28,2968.313145559855,4189.433202302381
W01,2021-04-01,27,2894.889424454502,4174.099989483429
W01,2021-05-01,28,2953.03489013771,4124.03898364411
W01,2021-06-01,29,2876.5063723977564,3894.5307083939424
W01,2021-07-01,29,2905.4820743931937,3591.5725974379693
W01,2021-08-01,29,2940.2940194133876,3244.3184876029554
W01,2021-09-01,34,2922.639588658162,3122.509373802809
W01,2021-10-01,33,2974.5730124835345,3231.1406348336027
W01,2021-11-01,35,2954.8850529425517,3206.017972129463
W01,2021-12-01,36,2919.630884139863,3159.8710362716615
W01,2022-01-01,36,2908.6489267313373,3378.2370920522167
W01,2022-02-01,35,2908.4486726530663,3513.257028137508
W01,2022-03-01,36,2890.2652506691747,3543.090095865194
W01,2022-04-01,39,2886.6157314487396,3598.9409861580552
W01,2022-05-01,40,2897.325319364878,3488.7412054442925
W01,2022-06-01,41,2923.373470752369,3241.479535446438
W01,2022-07-01,40,2899.4315421655447,3200.095541416254
W01,2022-08-01,42,2866.030719617524,3021.5209762947366
W01,2022-09-01,42,2910.3905487299758,2909.4539061994587
W01,2022-10-01,47,2940.9254018234114,2699.2538122644846
W01,2022-11-01,45,2845.531021459032,2943.0787202349275
W01,2022-12-01,48,2900.6418879185953,2852.887644290348
W02,2019-01-01,0,2979.9543039162577,4770.320343592939
W02,2019-02-01,2,2996.864933617829,4859.2329337738265
W02,2019-03-01,0,2996.702486583705,4863.564379721833
W02,2019-04-01,5,2983.5885909112158,5038.726431700725
W02,2019-05-01,5,2992.2286086435033,4832.984157044062
W02,2019-06-01,5,2971.9925501785297,4632.283269815965
W02,2019-07-01,4,2965.0143941441547,4515.411894771831
W02,2019-08-01,6,2998.049478475072,4208.638491248121
W02,2019-09-01,6,2975.081374355795,3982.583149703387
